subject condition group cat trial_type trial block resp corr_resp hit RT fileinfo schedule cat_diff studied
1 IB passive 2 training 44 1 zade zade 1 1588 Fc1_1221.png interleaved diff_cat NA 
1 IB passive 2 training 45 1 beme beme 1 1260 Fc1_1121.png interleaved diff_cat NA 
1 IB passive 2 training 46 1 kipe kipe 1 1177 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 47 1 zade zade 1 1587 Fc1_1213.png interleaved diff_cat NA 
1 IB passive 2 training 48 2 zade zade 1 995 Fc1_1222.png interleaved NA NA 
1 IB passive 2 training 49 2 zade zade 1 863 Fc1_1213.png interleaved same_cat NA 
1 IB passive 2 training 50 2 kipe kipe 1 1138 Fc1_1313.png interleaved diff_cat NA 
1 IB passive 2 training 51 2 kipe kipe 1 822 Fc1_1311.png interleaved same_cat NA 
1 IB passive 2 training 52 2 kipe kipe 1 751 Fc1_1322.png interleaved same_cat NA 
1 IB passive 2 training 53 2 beme beme 1 1095 Fc1_1112.png interleaved diff_cat NA 
1 IB passive 2 training 54 2 zade zade 1 1453 Fc1_1211.png interleaved diff_cat NA 
1 IB passive 2 training 55 2 zade zade 1 978 Fc1_1213.png interleaved same_cat NA 
1 IB passive 2 training 56 2 beme beme 1 821 Fc1_1113.png interleaved diff_cat NA 
1 IB passive 2 training 57 2 kipe kipe 1 1067 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 58 2 zade zade 1 1108 Fc1_1211.png interleaved diff_cat NA 
1 IB passive 2 training 59 2 kipe kipe 1 684 Fc1_1313.png interleaved diff_cat NA 
1 IB passive 2 training 60 2 beme beme 1 1605 Fc1_1113.png interleaved diff_cat NA 
1 IB passive 2 training 61 2 kipe kipe 1 1193 Fc1_1312.png interleaved diff_cat NA 
1 IB passive 2 training 62 2 kipe kipe 1 1137 Fc1_1311.png interleaved same_cat NA 
1 IB passive 2 training 63 2 beme beme 1 1221 Fc1_1122.png interleaved diff_cat NA 
1 IB passive 2 training 64 2 beme beme 1 1587 Fc1_1111.png interleaved same_cat NA 
1 IB passive 2 training 65 2 beme beme 1 1254 Fc1_1122.png interleaved same_cat NA 
1 IB passive 2 training 66 2 zade zade 1 915 Fc1_1222.png interleaved diff_cat NA 
1 IB passive 2 training 67 2 kipe kipe 1 720 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 68 2 zade zade 1 1100 Fc1_1221.png interleaved diff_cat NA 
1 IB passive 2 training 69 2 beme beme 1 1945 Fc1_1121.png interleaved diff_cat NA 
1 IB passive 2 training 70 2 kipe kipe 1 1473 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 71 2 zade zade 1 1057 Fc1_1213.png interleaved diff_cat NA 
1 IB passive 2 training 72 3 zade zade 1 1264 Fc1_1222.png interleaved NA NA 
1 IB passive 2 training 73 3 zade zade 1 1033 Fc1_1213.png interleaved same_cat NA 
1 IB passive 2 training 74 3 kipe kipe 1 1260 Fc1_1313.png interleaved diff_cat NA 
1 IB passive 2 training 75 3 kipe kipe 1 1351 Fc1_1311.png interleaved same_cat NA 
1 IB passive 2 training 76 3 kipe kipe 1 1410 Fc1_1322.png interleaved same_cat NA 
1 IB passive 2 training 77 3 beme beme 1 833 Fc1_1112.png interleaved diff_cat NA 
1 IB passive 2 training 78 3 zade zade 1 1020 Fc1_1211.png interleaved diff_cat NA 
1 IB passive 2 training 79 3 zade zade 1 1026 Fc1_1213.png interleaved same_cat NA 
1 IB passive 2 training 80 3 beme beme 1 1226 Fc1_1113.png interleaved diff_cat NA 
1 IB passive 2 training 81 3 kipe kipe 1 1210 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 82 3 zade zade 1 1034 Fc1_1211.png interleaved diff_cat NA 
1 IB passive 2 training 83 3 kipe kipe 1 1152 Fc1_1313.png interleaved diff_cat NA 
1 IB passive 2 training 84 3 beme beme 1 865 Fc1_1113.png interleaved diff_cat NA 
1 IB passive 2 training 85 3 kipe kipe 1 867 Fc1_1312.png interleaved diff_cat NA 
1 IB passive 2 training 86 3 kipe kipe 1 1139 Fc1_1311.png interleaved same_cat NA 
1 IB passive 2 training 87 3 beme beme 1 1011 Fc1_1122.png interleaved diff_cat NA 
1 IB passive 2 training 88 3 beme beme 1 870 Fc1_1111.png interleaved same_cat NA 
1 IB passive 2 training 89 3 beme beme 1 1206 Fc1_1122.png interleaved same_cat NA 
1 IB passive 2 training 90 3 zade zade 1 1048 Fc1_1222.png interleaved diff_cat NA 
1 IB passive 2 training 91 3 kipe kipe 1 843 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 92 3 zade zade 1 1270 Fc1_1221.png interleaved diff_cat NA 
1 IB passive 2 training 93 3 beme beme 1 1229 Fc1_1121.png interleaved diff_cat NA 
1 IB passive 2 training 94 3 kipe kipe 1 1477 Fc1_1321.png interleaved diff_cat NA 
1 IB passive 2 training 95 3 zade zade 1 1295 Fc1_1213.png interleaved diff_cat NA 
1 IB passive 2 test 0 0 zade zade 1 1583 Fc1_2222.png interleaved NA novel 
1 IB passive 2 test 1 0 kipe kipe 1 855 Fc1_1312.png interleaved diff_cat studied 
1 IB passive 2 test 2 0 beme beme 1 754 Fc1_2123.png interleaved diff_cat novel 
1 IB passive 2 test 3 0 zade zade 1 1652 Fc1_1211.png interleaved diff_cat studied 
1 IB passive 2 test 4 0 zade zade 1 999 Fc1_2221.png interleaved same_cat novel 
1 IB passive 2 test 5 0 beme beme 1 701 Fc1_2111.png interleaved diff_cat novel 
1 IB passive 2 test 6 0 beme beme 1 1138 Fc1_2121.png interleaved same_cat novel 
1 IB passive 2 test 7 0 kipe kipe 1 965 Fc1_2323.png interleaved diff_cat novel 
1 IB passive 2 test 8 0 beme beme 1 826 Fc1_1122.png interleaved diff_cat studied 
1 IB passive 2 test 9 0 beme beme 1 1060 Fc1_1113.png interleaved same_cat studied 
1 IB passive 2 test 10 0 zade zade 1 2023 Fc1_1213.png interleaved diff_cat studied 
1 IB passive 2 test 11 0 kipe kipe 1 691 Fc1_1321.png interleaved diff_cat studied 
1 IB passive 2 test 12 0 zade zade 1 988 Fc1_2211.png interleaved diff_cat novel 
1 IB passive 2 test 13 0 zade zade 1 1007 Fc1_1223.png interleaved same_cat novel 
1 IB passive 2 test 14 0 beme beme 1 914 Fc1_2113.png interleaved diff_cat novel 
1 IB passive 2 test 15 0 kipe kipe 1 785 Fc1_2312.png interleaved diff_cat novel 
1 IB passive 2 test 16 0 zade zade 1 1939 Fc1_2223.png interleaved diff_cat novel 
1 IB passive 2 test 17 0 kipe kipe 1 885 Fc1_2321.png interleaved diff_cat novel 
1 IB passive 2 test 18 0 beme beme 1 698 Fc1_2122.png interleaved diff_cat novel 
1 IB passive 2 test 19 0 kipe kipe 1 692 Fc1_1311.png interleaved diff_cat studied 
1 IB passive 2 test 20 0 kipe kipe 1 1281 Fc1_2311.png interleaved same_cat novel 
1 IB passive 2 test 21 0 beme beme 1 887 Fc1_2112.png interleaved diff_cat novel 
1 IB passive 2 test 22 0 kipe kipe 1 643 Fc1_1322.png interleaved diff_cat studied 
1 IB passive 2 test 23 0 zade zade 1 1403 Fc1_1222.png interleaved diff_cat studied 
1 IB passive 2 test 24 0 beme beme 1 1771 Fc1_1123.png interleaved diff_cat novel 
1 IB passive 2 test 25 0 zade zade 1 1253 Fc1_2213.png interleaved diff_cat novel 
1 IB passive 2 test 26 0 zade zade 1 947 Fc1_2212.png interleaved same_cat novel 
1 IB passive 2 test 27 0 kipe kipe 1 1088 Fc1_1323.png interleaved diff_cat novel 
1 IB passive 2 test 28 0 kipe kipe 1 955 Fc1_2322.png interleaved same_cat novel 
1 IB passive 2 test 29 0 kipe kipe 1 956 Fc1_2313.png interleaved same_cat novel 
1 IB passive 2 test 30 0 kipe kipe 1 885 Fc1_1313.png interleaved same_cat studied 
1 IB passive 2 test 31 0 zade zade 1 714 Fc1_1221.png interleaved diff_cat studied 
1 IB passive 2 test 32 0 zade zade 1 1110 Fc1_1212.png interleaved same_cat studied 
1 IB passive 2 test 33 0 beme beme 1 961 Fc1_1111.png interleaved diff_cat studied 
1 IB passive 2 test 34 0 beme beme 1 1253 Fc1_1112.png interleaved same_cat studied 
1 IB passive 2 test 35 0 beme beme 1 1045 Fc1_1121.png interleaved same_cat studied 
1 IB passive 2 training 0 0 tyfe tyfe 1 1202 Fb1_1313.png blocked NA NA 
1 IB passive 2 training 1 0 vune vune 1 1006 Fb1_1212.png blocked diff_cat NA 
1 IB passive 2 training 2 0 coge coge 1 1100 Fb1_1111.png blocked diff_cat NA 
1 IB passive 2 training 3 0 coge coge 1 1004 Fb1_1111.png blocked same_cat NA 
1 IB passive 2 training 4 0 coge coge 1 1030 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 5 0 coge coge 1 812 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 6 0 coge coge 1 1017 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 7 0 coge coge 1 1370 Fb1_1121.png blocked same_cat NA 
1 IB passive 2 training 8 0 coge coge 1 1143 Fb1_1122.png blocked same_cat NA 
1 IB passive 2 training 9 0 coge coge 1 1208 Fb1_1122.png blocked same_cat NA 
1 IB passive 2 training 10 0 coge coge 1 751 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 11 0 coge coge 1 1198 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 12 0 coge coge 1 3083 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 13 0 tyfe tyfe 1 1544 Fb1_1313.png blocked diff_cat NA 
1 IB passive 2 training 14 0 tyfe tyfe 1 1431 Fb1_1321.png blocked same_cat NA 
1 IB passive 2 training 15 0 tyfe tyfe 1 1454 Fb1_1322.png blocked same_cat NA 
1 IB passive 2 training 16 0 tyfe tyfe 1 1036 Fb1_1313.png blocked same_cat NA 
1 IB passive 2 training 17 0 tyfe tyfe 1 916 Fb1_1311.png blocked same_cat NA 
1 IB passive 2 training 18 0 tyfe tyfe 1 1262 Fb1_1321.png blocked same_cat NA 
1 IB passive 2 training 19 0 tyfe tyfe 1 1058 Fb1_1311.png blocked same_cat NA 
1 IB passive 2 training 20 0 tyfe tyfe 1 1029 Fb1_1312.png blocked same_cat NA 
1 IB passive 2 training 21 0 tyfe tyfe 1 865 Fb1_1312.png blocked same_cat NA 
1 IB passive 2 training 22 0 vune vune 1 907 Fb1_1211.png blocked diff_cat NA 
1 IB passive 2 training 23 0 tyfe tyfe 1 833 Fb1_1322.png blocked diff_cat NA 
1 IB passive 2 training 24 1 tyfe tyfe 1 842 Fb1_1313.png blocked NA NA 
1 IB passive 2 training 25 1 vune vune 1 660 Fb1_1212.png blocked diff_cat NA 
1 IB passive 2 training 26 1 coge coge 1 1383 Fb1_1111.png blocked diff_cat NA 
1 IB passive 2 training 27 1 coge coge 1 1809 Fb1_1111.png blocked same_cat NA 
1 IB passive 2 training 28 1 coge coge 1 1373 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 29 1 coge coge 1 1015 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 30 1 coge coge 1 690 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 31 1 coge coge 1 884 Fb1_1121.png blocked same_cat NA 
1 IB passive 2 training 32 1 coge coge 1 841 Fb1_1122.png blocked same_cat NA 
1 IB passive 2 training 33 1 coge coge 1 1554 Fb1_1122.png blocked same_cat NA 
1 IB passive 2 training 34 1 coge coge 1 1196 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 35 1 coge coge 1 1086 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 36 1 coge coge 1 2299 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 37 1 tyfe tyfe 1 977 Fb1_1313.png blocked diff_cat NA 
1 IB passive 2 training 38 1 tyfe tyfe 1 1115 Fb1_1321.png blocked same_cat NA 
1 IB passive 2 training 39 1 tyfe tyfe 1 705 Fb1_1322.png blocked same_cat NA 
1 IB passive 2 training 40 1 tyfe tyfe 1 895 Fb1_1313.png blocked same_cat NA 
1 IB passive 2 training 41 1 tyfe tyfe 1 924 Fb1_1311.png blocked same_cat NA 
1 IB passive 2 training 42 1 tyfe tyfe 1 1260 Fb1_1321.png blocked same_cat NA 
1 IB passive 2 training 43 1 tyfe tyfe 1 892 Fb1_1311.png blocked same_cat NA 
1 IB passive 2 training 44 1 tyfe tyfe 1 1137 Fb1_1312.png blocked same_cat NA 
1 IB passive 2 training 45 1 tyfe tyfe 1 1797 Fb1_1312.png blocked same_cat NA 
1 IB passive 2 training 46 1 vune vune 1 1284 Fb1_1211.png blocked diff_cat NA 
1 IB passive 2 training 47 1 tyfe tyfe 1 1017 Fb1_1322.png blocked diff_cat NA 
1 IB passive 2 training 48 2 tyfe tyfe 1 803 Fb1_1313.png blocked NA NA 
1 IB passive 2 training 49 2 vune vune 1 915 Fb1_1212.png blocked diff_cat NA 
1 IB passive 2 training 50 2 coge coge 1 1055 Fb1_1111.png blocked diff_cat NA 
1 IB passive 2 training 51 2 coge coge 1 1077 Fb1_1111.png blocked same_cat NA 
1 IB passive 2 training 52 2 coge coge 1 831 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 53 2 coge coge 1 1218 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 54 2 coge coge 1 832 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 55 2 coge coge 1 1075 Fb1_1121.png blocked same_cat NA 
1 IB passive 2 training 56 2 coge coge 1 1020 Fb1_1122.png blocked same_cat NA 
1 IB passive 2 training 57 2 coge coge 1 1189 Fb1_1122.png blocked same_cat NA 
1 IB passive 2 training 58 2 coge coge 1 912 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 59 2 coge coge 1 963 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 60 2 coge coge 1 791 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 61 2 tyfe tyfe 1 1079 Fb1_1313.png blocked diff_cat NA 
1 IB passive 2 training 62 2 tyfe tyfe 1 1246 Fb1_1321.png blocked same_cat NA 
1 IB passive 2 training 63 2 tyfe tyfe 1 863 Fb1_1322.png blocked same_cat NA 
1 IB passive 2 training 64 2 tyfe tyfe 1 822 Fb1_1313.png blocked same_cat NA 
1 IB passive 2 training 65 2 tyfe tyfe 1 983 Fb1_1311.png blocked same_cat NA 
1 IB passive 2 training 66 2 tyfe tyfe 1 1058 Fb1_1321.png blocked same_cat NA 
1 IB passive 2 training 67 2 tyfe tyfe 1 740 Fb1_1311.png blocked same_cat NA 
1 IB passive 2 training 68 2 tyfe tyfe 1 845 Fb1_1312.png blocked same_cat NA 
1 IB passive 2 training 69 2 tyfe tyfe 1 1149 Fb1_1312.png blocked same_cat NA 
1 IB passive 2 training 70 2 vune vune 1 1098 Fb1_1211.png blocked diff_cat NA 
1 IB passive 2 training 71 2 tyfe tyfe 1 1433 Fb1_1322.png blocked diff_cat NA 
1 IB passive 2 training 72 3 tyfe tyfe 1 1210 Fb1_1313.png blocked NA NA 
1 IB passive 2 training 73 3 vune vune 1 870 Fb1_1212.png blocked diff_cat NA 
1 IB passive 2 training 74 3 coge coge 1 1116 Fb1_1111.png blocked diff_cat NA 
1 IB passive 2 training 75 3 coge coge 1 741 Fb1_1111.png blocked same_cat NA 
1 IB passive 2 training 76 3 coge coge 1 1333 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 77 3 coge coge 1 1197 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 78 3 coge coge 1 1325 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 79 3 coge coge 1 913 Fb1_1121.png blocked same_cat NA 
1 IB passive 2 training 80 3 coge coge 1 2345 Fb1_1122.png blocked same_cat NA 
1 IB passive 2 training 81 3 coge coge 1 1904 Fb1_1122.png blocked same_cat NA 
1 IB passive 2 training 82 3 coge coge 1 853 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 83 3 coge coge 1 1715 Fb1_1112.png blocked same_cat NA 
1 IB passive 2 training 84 3 coge coge 1 1025 Fb1_1113.png blocked same_cat NA 
1 IB passive 2 training 85 3 tyfe tyfe 1 1239 Fb1_1313.png blocked diff_cat NA 
1 IB passive 2 training 86 3 tyfe tyfe 1 1494 Fb1_1321.png blocked same_cat NA 
1 IB passive 2 training 87 3 tyfe tyfe 1 1208 Fb1_1322.png blocked same_cat NA 
1 IB passive 2 training 88 3 tyfe tyfe 1 2420 Fb1_1313.png blocked same_cat NA 
1 IB passive 2 training 89 3 tyfe tyfe 1 1573 Fb1_1311.png blocked same_cat NA 
1 IB passive 2 training 90 3 tyfe tyfe 1 1106 Fb1_1321.png blocked same_cat NA 
1 IB passive 2 training 91 3 tyfe tyfe 1 1397 Fb1_1311.png blocked same_cat NA 
1 IB passive 2 training 92 3 tyfe tyfe 1 1229 Fb1_1312.png blocked same_cat NA 
1 IB passive 2 training 93 3 tyfe tyfe 1 1085 Fb1_1312.png blocked same_cat NA 
1 IB passive 2 training 94 3 vune vune 1 1847 Fb1_1211.png blocked diff_cat NA 
1 IB passive 2 training 95 3 tyfe tyfe 1 1111 Fb1_1322.png blocked diff_cat NA 
1 IB passive 2 test 0 0 tyfe tyfe 1 1304 Fb1_2311.png blocked NA novel 
1 IB passive 2 test 1 0 tyfe tyfe 1 804 Fb1_2312.png blocked same_cat novel 
1 IB passive 2 test 2 0 coge coge 1 1084 Fb1_2111.png blocked diff_cat novel 
1 IB passive 2 test 3 0 coge coge 1 1189 Fb1_2112.png blocked same_cat novel 
1 IB passive 2 test 4 0 coge coge 1 631 Fb1_1112.png blocked same_cat studied 
1 IB passive 2 test 5 0 tyfe tyfe 1 1044 Fb1_2321.png blocked diff_cat novel 
1 IB passive 2 test 6 0 vune vune 1 693 Fb1_1213.png blocked diff_cat studied 
1 IB passive 2 test 7 0 tyfe tyfe 1 691 Fb1_1322.png blocked diff_cat studied 
1 IB passive 2 test 8 0 tyfe tyfe 1 996 Fb1_1313.png blocked same_cat studied 
1 IB passive 2 test 9 0 tyfe tyfe 1 659 Fb1_2323.png blocked same_cat novel 
1 IB passive 2 test 10 0 tyfe tyfe 1 791 Fb1_1323.png blocked same_cat novel 
1 IB passive 2 test 11 0 coge coge 1 1181 Fb1_2123.png blocked diff_cat novel 
1 IB passive 2 test 12 0 vune vune 1 1582 Fb1_1212.png blocked diff_cat studied 
1 IB passive 2 test 13 0 vune vune 1 1137 Fb1_2212.png blocked same_cat novel 
1 IB passive 2 test 14 0 tyfe tyfe 1 1658 Fb1_1311.png blocked diff_cat studied 
1 IB passive 2 test 15 0 coge coge 1 978 Fb1_2121.png blocked diff_cat novel 
1 IB passive 2 test 16 0 coge coge 1 842 Fb1_1122.png blocked same_cat studied 
1 IB passive 2 test 17 0 coge coge 1 802 Fb1_1123.png blocked same_cat novel 
1 IB passive 2 test 18 0 vune vune 1 635 Fb1_1221.png blocked diff_cat studied 
1 IB passive 2 test 19 0 vune vune 1 1036 Fb1_2222.png blocked same_cat novel 
1 IB passive 2 test 20 0 tyfe tyfe 1 1617 Fb1_1321.png blocked diff_cat studied 
1 IB passive 2 test 21 0 coge coge 1 1249 Fb1_1111.png blocked diff_cat studied 
1 IB passive 2 test 22 0 vune vune 1 1018 Fb1_2211.png blocked diff_cat novel 
1 IB passive 2 test 23 0 vune vune 1 702 Fb1_2223.png blocked same_cat novel 
1 IB passive 2 test 24 0 coge coge 1 834 Fb1_1113.png blocked diff_cat studied 
1 IB passive 2 test 25 0 vune vune 1 1135 Fb1_2221.png blocked diff_cat novel 
1 IB passive 2 test 26 0 coge coge 1 725 Fb1_2113.png blocked diff_cat novel 
1 IB passive 2 test 27 0 vune vune 1 1370 Fb1_1211.png blocked diff_cat studied 
1 IB passive 2 test 28 0 tyfe tyfe 1 661 Fb1_2322.png blocked diff_cat novel 
1 IB passive 2 test 29 0 coge coge 1 762 Fb1_1121.png blocked diff_cat studied 
1 IB passive 2 test 30 0 tyfe tyfe 1 1014 Fb1_2313.png blocked diff_cat novel 
1 IB passive 2 test 31 0 coge coge 1 1068 Fb1_2122.png blocked diff_cat novel 
1 IB passive 2 test 32 0 vune vune 1 805 Fb1_1223.png blocked diff_cat novel 
1 IB passive 2 test 33 0 tyfe tyfe 1 784 Fb1_1312.png blocked diff_cat studied 
1 IB passive 2 test 34 0 vune vune 1 1364 Fb1_1222.png blocked diff_cat studied 
1 IB passive 2 test 35 0 vune vune 1 868 Fb1_2213.png blocked same_cat novel 
10 BI passive 1 training 0 0 zade zade 1 6858 Fb1_1311.png blocked NA NA 
10 BI passive 1 training 1 0 vune vune 1 2089 Fb1_1221.png blocked diff_cat NA 
10 BI passive 1 training 2 0 vune vune 1 2053 Fb1_1213.png blocked same_cat NA 
10 BI passive 1 training 3 0 vune vune 1 1056 Fb1_1221.png blocked same_cat NA 
10 BI passive 1 training 4 0 vune vune 1 1496 Fb1_1211.png blocked same_cat NA 
10 BI passive 1 training 5 0 vune vune 1 1016 Fb1_1222.png blocked same_cat NA 
10 BI passive 1 training 6 0 vune vune 1 1396 Fb1_1221.png blocked same_cat NA 
10 BI passive 1 training 7 0 vune vune 1 1008 Fb1_1213.png blocked same_cat NA 
10 BI passive 1 training 8 0 vune vune 1 1233 Fb1_1212.png blocked same_cat NA 
10 BI passive 1 training 9 0 vune vune 1 1019 Fb1_1212.png blocked same_cat NA 
10 BI passive 1 training 10 0 vune vune 1 1174 Fb1_1211.png blocked same_cat NA 
10 BI passive 1 training 11 0 vune vune 1 1037 Fb1_1211.png blocked same_cat NA 
10 BI passive 1 training 12 0 vune vune 1 895 Fb1_1222.png blocked same_cat NA 
10 BI passive 1 training 13 0 vune vune 1 846 Fb1_1212.png blocked same_cat NA 
10 BI passive 1 training 14 0 zade zade 1 1027 Fb1_1313.png blocked diff_cat NA 
10 BI passive 1 training 15 0 kipe kipe 1 1418 Fb1_1113.png blocked diff_cat NA 
10 BI passive 1 training 16 0 kipe kipe 1 1225 Fb1_1121.png blocked same_cat NA 
10 BI passive 1 training 17 0 kipe kipe 1 1098 Fb1_1112.png blocked same_cat NA 
10 BI passive 1 training 18 0 kipe kipe 1 1413 Fb1_1113.png blocked same_cat NA 
10 BI passive 1 training 19 0 kipe kipe 1 1359 Fb1_1121.png blocked same_cat NA 
10 BI passive 1 training 20 0 kipe kipe 1 1533 Fb1_1112.png blocked same_cat NA 
10 BI passive 1 training 21 0 kipe kipe 1 1337 Fb1_1122.png blocked same_cat NA 
10 BI passive 1 training 22 0 kipe kipe 1 1335 Fb1_1111.png blocked same_cat NA 
10 BI passive 1 training 23 0 kipe kipe 1 946 Fb1_1112.png blocked same_cat NA 
10 BI passive 1 training 24 1 zade zade 1 828 Fb1_1311.png blocked NA NA 
10 BI passive 1 training 25 1 vune vune 1 1405 Fb1_1221.png blocked diff_cat NA 
10 BI passive 1 training 26 1 vune vune 1 1182 Fb1_1213.png blocked same_cat NA 
10 BI passive 1 training 27 1 vune vune 1 1511 Fb1_1221.png blocked same_cat NA 
10 BI passive 1 training 28 1 vune vune 1 1036 Fb1_1211.png blocked same_cat NA 
10 BI passive 1 training 29 1 vune vune 1 1223 Fb1_1222.png blocked same_cat NA 
10 BI passive 1 training 30 1 vune vune 1 1407 Fb1_1221.png blocked same_cat NA 
10 BI passive 1 training 31 1 vune vune 1 775 Fb1_1213.png blocked same_cat NA 
10 BI passive 1 training 32 1 vune vune 1 1350 Fb1_1212.png blocked same_cat NA 
10 BI passive 1 training 33 1 vune vune 1 1160 Fb1_1212.png blocked same_cat NA 
