Height,Weight,Age,Sex,Nationality
66.1,174.7,na,female,American
66.1,157.5,na,female,American
66.2,120.7,na,female,American
66.2,120.9,na,female,American
66.2,162,na,male,American
66.3,122,na,female,American
66.3,157,na,male,American
66.4,139.2,na,female,American
66.4,172.8,na,female,American
66.4,213.6,na,female,American
66.5,127.1,na,male,American
66.5,150.6,na,male,American
66.5,144.5,na,male,American
66.5,198.3,na,female,American
66.6,130.1,na,male,American
66.6,202.2,na,male,American
66.7,191.6,na,female,American
66.7,193.8,na,female,American
66.7,241.6,na,male,American
66.7,132.6,na,male,American
66.8,176.6,na,male,American
66.8,231.5,na,female,American
66.9,111.1,na,female,American
67,187.9,na,male,American
67,225,na,male,American
67.1,168.8,na,female,American
67.1,131.2,na,female,American
67.2,165.9,na,male,American
67.2,141.8,na,male,American
67.2,234.9,na,female,American
67.3,135.4,na,male,American
67.3,170.5,na,male,American
67.4,179.9,na,male,American
67.4,155.9,na,male,American
67.4,156.8,na,male,American
67.4,140.3,na,female,American
67.4,158.5,na,male,American
67.5,187.2,na,male,American
67.5,184,na,male,American
67.6,150,na,male,American
67.6,186.1,na,male,American
67.7,158,na,male,American
67.7,156.5,na,male,American
67.8,177.1,na,male,American
67.8,141.7,na,female,American
67.9,173.6,na,male,American
67.9,128.1,na,female,American
67.9,191.3,na,male,American
67.9,122,na,female,American
67.9,146.8,na,female,American
68,190.9,na,male,American
68.1,147.9,na,female,American
68.1,140.9,na,male,American
68.1,164.1,na,male,American
68.1,164.1,na,male,American
68.2,218,na,male,American
68.3,178.6,na,male,American
68.3,166.3,na,male,American
68.3,110.7,na,female,American
68.3,210.6,na,male,American
68.4,185.9,na,male,American
68.5,113.7,na,male,American
68.6,170,na,male,American
68.6,152.6,na,male,American
68.6,159.4,na,male,American
68.8,150.5,na,male,American
68.9,211.4,na,male,American
69,145.9,na,male,American
69.1,222.5,na,male,American
69.2,124.4,na,male,American
69.2,150.1,na,male,American
69.2,149,na,male,American
69.4,159.8,na,male,American
69.4,153.5,na,male,American
69.4,169.6,na,male,American
69.6,184.4,na,male,American
69.7,155,na,male,American
69.8,149.6,na,male,American
69.8,178.8,na,male,American
69.8,147.6,na,male,American
69.9,211.3,na,male,American
70,275.2,na,female,American
70.1,195.7,na,male,American
70.1,181.1,na,male,American
70.1,160.8,na,male,American
70.2,191.1,na,male,American
70.2,178.8,na,male,American
70.3,181.1,na,male,American
70.3,170.4,na,male,American
70.4,223.5,na,male,American
70.4,172.2,na,male,American
70.4,173.7,na,male,American
70.4,161.9,na,male,American
70.5,156.3,na,male,American
70.6,192.6,na,male,American
70.6,216.8,na,male,American
70.6,195.2,na,male,American
70.6,164.8,na,male,American
70.8,207.3,na,male,American
70.9,177.1,na,male,American
70.9,183.2,na,male,American
70.9,149.7,na,male,American
70.9,182.2,na,male,American
71,187.2,na,male,American
71,158.9,na,male,American
71.1,193.9,na,male,American
71.1,143.9,na,male,American
71.1,194.7,na,male,American
71.2,199.5,na,male,American
71.2,114.8,na,male,American
71.2,191.5,na,male,American
71.5,193.6,na,male,American
71.5,210.8,na,male,American
71.5,198.6,na,male,American
71.6,193.4,na,male,American
71.7,170.6,na,male,American
71.7,166,na,male,American
71.8,120.8,na,male,American
71.8,172.7,na,male,American
71.9,159.5,na,male,American
71.9,154.5,na,male,American
72.1,187,na,male,American
72.4,173.9,na,male,American
72.4,182.8,na,male,American
72.4,210.4,na,male,American
72.6,164.7,na,male,American
72.6,206.5,na,male,American
72.7,204.5,na,male,American
72.9,163.1,na,male,American
73.2,216.6,na,male,American
73.3,188.2,na,male,American
73.3,168,na,male,American
73.3,240.2,na,male,American
73.4,167.1,na,male,American
73.6,201.1,na,male,American
73.7,242.5,na,male,American
73.9,197.8,na,male,American
74.6,186.2,na,male,American
74.7,186.1,na,male,American
75.1,204.4,na,male,American
75.1,186.1,na,male,American
76,180,na,male,American
