StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q34_1,Q35_1,Q36_1,Q37_1,Q38_1,Q39_1,Q40_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1
11/27/22 11:07,11/27/22 11:13,IP Address,99.250.65.236,100,318,TRUE,11/27/22 11:13,R_1NyODPwe10z2IZj,,,,,43.4269,-80.5436,anonymous,EN,1,1,5,6,6,6,5,6,9,7,8,8,7,7,8,8,8,7,0,9,7,6,8,9,8,8,8,7,8,4,4,4,9,7,5,8,5,7,6,4,8
11/27/22 11:05,11/27/22 11:13,IP Address,173.230.72.23,100,516,TRUE,11/27/22 11:13,R_xrxl9BxEoBnEAdX,,,,,39.1397,-86.5141,anonymous,EN,1,5,3,7,5,8,9,5,10,10,8,10,10,2,10,10,10,7,2,4,7,10,10,10,10,10,10,10,10,10,10,6,9,7,6,8,6,9,9,10,10
11/27/22 11:23,11/27/22 11:32,IP Address,69.151.178.80,100,489,TRUE,11/27/22 11:32,R_2qr96zUfC6BgRGr,,,,,39.1397,-86.5141,anonymous,EN,1,7,3,5,8,8,10,8,9,8,6,9,7,10,6,8,10,8,0,7,8,9,8,6,7,9,10,5,5,10,9,4,4,2,3,6,5,4,5,6,7
11/27/22 11:38,11/27/22 11:44,IP Address,62.46.32.10,100,397,TRUE,11/27/22 11:44,R_3kn6mVN6vbsQmZh,,,,,47.3772,15.0938,anonymous,EN,0.899999976,8,2,5,4,7,2,8,3,8,6,10,6,3,7,6,5,2,0,8,7,4,8,8,8,10,8,9,2,7,8,3,5,2,5,6,4,8,4,2,4
11/27/22 11:39,11/27/22 11:44,IP Address,73.58.221.250,100,328,TRUE,11/27/22 11:44,R_11ayPsw1PYbxtJv,,,,,36.3834,-86.4512,anonymous,EN,0.899999976,0,1,3,3,4,3,4,5,4,7,7,3,3,4,7,9,5,0,5,3,1,6,8,6,5,1,4,9,3,3,3,3,6,2,5,7,6,4,5,3
11/27/22 11:40,11/27/22 11:48,IP Address,119.224.92.8,100,474,TRUE,11/27/22 11:48,R_1FRNHp73D8rXyvG,,,,,-43.5379,172.6151,anonymous,EN,1,5,2,4,6,6,7,8,8,6,7,8,7,7,7,8,9,8,5,8,6,6,6,7,6,7,6,8,6,6,6,5,8,6,4,5,6,7,6,8,7
11/27/22 11:45,11/27/22 11:49,IP Address,172.56.73.70,100,278,TRUE,11/27/22 11:49,R_pv1zsj0vC2p8O2J,,,,,28.4883,-81.4061,anonymous,EN,1,1,1,9,10,3,10,7,4,7,10,8,10,10,3,1,10,10,10,10,2,2,10,8,7,10,7,10,10,1,1,2,7,5,5,10,10,3,5,0,4
11/27/22 11:53,11/27/22 11:59,IP Address,194.147.2.62,100,342,TRUE,11/27/22 11:59,R_2ARuLbVePaTPCAV,,,,,47.9987,6.8672,anonymous,EN,0.699999988,3,1,3,6,5,4,8,4,5,9,10,6,5,5,8,10,9,4,10,4,6,3,7,6,6,6,3,1,0,6,4,8,9,8,5,7,3,5,8,5
11/27/22 11:52,11/27/22 12:02,IP Address,24.207.254.193,100,567,TRUE,11/27/22 12:02,R_1rk67JNy9mNzU70,,,,,38.783,-90.6351,anonymous,EN,1,1,1,7,6,8,8,7,4,8,9,8,8,0,3,3,7,3,5,8,6,6,8,7,4,7,7,6,6,5,7,5,7,6,4,4,5,5,4,5,4
11/27/22 12:01,11/27/22 12:05,IP Address,185.169.0.90,100,237,TRUE,11/27/22 12:05,R_3QDCo5Dvx3hLptj,,,,,37.353,-121.9543,anonymous,EN,0.899999976,8,4,9,7,6,6,9,9,9,7,6,8,9,6,8,8,5,10,5,7,8,9,9,6,7,6,5,8,9,6,3,8,8,6,7,9,9,3,4,6
11/27/22 12:09,11/27/22 12:17,IP Address,83.128.164.207,100,474,TRUE,11/27/22 12:17,R_1plpOdbZ0YU8P1H,,,,,52.2751,4.7914,anonymous,EN,0.899999976,2,7,4,6,9,8,8,8,8,9,9,8,6,6,5,9,7,3,8,4,3,8,9,6,5,8,3,4,2,3,3,3,2,2,7,7,7,5,3,3
11/27/22 12:11,11/27/22 12:20,IP Address,137.222.114.252,100,547,TRUE,11/27/22 12:20,R_2sbDQbZsF5YLMhz,,,,,51.4502,-2.6503,anonymous,EN,1,5,2,3,4,4,7,5,7,7,8,8,6,6,5,6,9,7,9,9,7,7,6,4,8,2,4,3,7,6,5,3,6,7,7,6,4,6,6,2,2
11/27/22 12:16,11/27/22 12:21,IP Address,198.254.123.123,100,295,TRUE,11/27/22 12:21,R_VIHhTaXjqI3c6NX,,,,,40.7503,-74.0014,anonymous,EN,1,1,1,2,5,8,3,8,9,6,9,6,5,9,3,7,10,8,8,10,5,2,6,7,9,10,5,3,9,10,8,6,9,10,9,10,10,10,9,2,4
11/27/22 12:14,11/27/22 12:22,IP Address,172.56.35.98,100,437,TRUE,11/27/22 12:22,R_1IsZWyop9I3P1L6,,,,,40.7064,-73.9473,anonymous,EN,1,4,4,3,3,8,6,6,6,6,5,5,7,6,6,5,6,6,6,7,5,5,6,4,5,7,5,5,6,6,4,4,6,4,4,5,5,5,5,5,4
11/27/22 12:03,11/27/22 12:25,IP Address,73.233.130.60,100,1297,TRUE,11/27/22 12:25,R_3n6hYoxxHDkgSIU,,,,,39.952,-75.1814,anonymous,EN,0.899999976,2,6,3,2,5,7,7,9,2,9,9,8,8,10,4,8,5,10,9,2,10,7,10,10,3,1,1,7,6,1,4,2,1,1,6,2,3,0,1,10
11/27/22 12:31,11/27/22 12:36,IP Address,75.43.142.72,100,292,TRUE,11/27/22 12:36,R_3kzziEt7So66RBN,,,,,29.6924,-95.513,anonymous,EN,0.899999976,2,2,3,5,4,6,5,7,5,6,4,7,6,5,6,7,5,4,7,5,5,7,5,6,6,6,5,7,5,6,4,4,5,5,6,6,6,7,4,5
11/27/22 12:41,11/27/22 12:49,IP Address,68.4.7.83,100,470,TRUE,11/27/22 12:49,R_3ESkjwrh9KArXMm,,,,,33.672,-117.7402,anonymous,EN,1,3,2,7,6,8,9,6,9,4,9,9,5,6,4,5,9,6,10,10,3,4,6,8,9,5,7,8,7,7,4,4,7,8,7,7,8,8,7,2,5
11/27/22 12:57,11/27/22 13:00,IP Address,172.58.138.9,100,170,TRUE,11/27/22 13:00,R_1LOku6imF38O6Jr,,,,,41.85,-87.7165,anonymous,EN,1,0,4,6,7,9,5,4,9,5,7,10,10,4,2,7,10,10,0,3,0,3,8,10,5,8,6,8,6,5,2,3,5,6,7,8,2,8,8,0,0
11/27/22 13:00,11/27/22 13:06,IP Address,189.6.252.242,100,382,TRUE,11/27/22 13:06,R_1CEFEHFuRr3YHN6,,,,,-30.1169,-51.2658,anonymous,EN,0.400000006,4,3,8,6,7,8,7,4,5,9,9,7,3,8,7,9,7,1,9,4,2,5,10,4,6,6,1,5,1,4,9,8,6,2,6,9,7,2,1,7
11/27/22 13:03,11/27/22 13:07,IP Address,75.102.111.89,100,277,TRUE,11/27/22 13:07,R_1f4aRM87OHybM2I,,,,,41.0683,-76.2459,anonymous,EN,1,2,4,6,8,6,9,6,7,4,8,7,8,4,5,5,8,9,9,10,6,6,10,8,3,8,2,8,9,10,2,1,7,9,6,9,9,6,5,0,5
11/27/22 13:04,11/27/22 13:09,IP Address,70.78.129.96,100,263,TRUE,11/27/22 13:09,R_12ccN4cFIU1LxPk,,,,,49.041,-122.3423,anonymous,EN,1,3,2,7,2,7,9,8,8,7,8,6,7,0,1,1,7,6,1,7,2,8,10,7,3,8,7,2,5,7,4,3,6,3,1,5,5,7,2,0,0
11/27/22 12:57,11/27/22 13:09,IP Address,73.254.81.62,100,677,TRUE,11/27/22 13:09,R_4HO1LBZStuvs4g1,,,,,47.6463,-122.5331,anonymous,EN,0.400000006,0,3,3,5,6,4,6,8,4,6,7,7,6,7,7,9,7,5,8,7,4,5,6,6,5,8,5,5,4,6,6,8,7,5,5,7,7,6,5,6
11/27/22 13:07,11/27/22 13:13,IP Address,81.107.211.52,100,373,TRUE,11/27/22 13:13,R_1jpJKR5ByculcaO,,,,,51.9265,-0.0996,anonymous,EN,0.899999976,3,1,4,5,4,7,3,6,6,8,4,9,7,4,2,9,6,3,6,0,1,2,4,8,0,2,0,3,6,0,3,8,6,2,1,3,4,1,0,5
11/27/22 13:10,11/27/22 13:15,IP Address,79.133.26.127,100,300,TRUE,11/27/22 13:15,R_2SCDZnTtyPEu9on,,,,,60.1017,19.9548,anonymous,EN,1,2,2,4,6,3,3,5,7,2,6,6,2,10,3,7,9,9,3,8,4,4,7,8,4,7,4,8,2,6,5,3,9,7,4,7,8,5,6,4,5
11/27/22 13:13,11/27/22 13:19,IP Address,90.78.108.165,100,372,TRUE,11/27/22 13:19,R_3r19og410ne26gS,,,,,46.5694,0.6509,anonymous,EN,1,4,4,6,1,6,3,6,4,5,6,5,2,0,4,5,7,4,0,3,2,3,1,6,3,4,5,4,8,3,6,2,4,6,4,5,1,4,2,0,5
11/27/22 13:17,11/27/22 13:22,IP Address,172.112.135.146,100,253,TRUE,11/27/22 13:22,R_2ePvshApR6dXYZi,,,,,33.7399,-117.0151,anonymous,EN,0.899999976,0,0,3,2,6,2,0,8,4,7,1,4,5,0,0,7,0,4,8,0,0,6,8,1,0,3,0,7,1,0,0,7,1,0,0,1,6,1,0,0
11/27/22 13:15,11/27/22 13:24,IP Address,129.79.34.111,100,539,TRUE,11/27/22 13:24,R_6fnhu4mdwDdLwBj,,,,,39.1963,-86.5776,anonymous,EN,1,7,3,8,7,8,5,6,7,9,7,8,5,3,3,4,7,5,1,6,6,10,8,7,6,7,8,6,9,9,10,6,6,5,5,5,6,8,6,3,5
11/27/22 13:26,11/27/22 13:30,IP Address,45.44.153.139,100,237,TRUE,11/27/22 13:30,R_WifFOnZPMYIeKLn,,,,,43.7523,-79.3872,anonymous,EN,0.899999976,7,4,7,2,6,10,7,6,6,7,8,4,9,6,5,5,3,3,6,7,6,4,7,4,6,8,9,9,4,3,3,4,7,7,8,7,9,6,5,6
11/27/22 13:13,11/27/22 13:30,IP Address,80.220.154.198,100,1020,TRUE,11/27/22 13:30,R_1KiGmbG4cPBi899,,,,,60.1797,24.9344,anonymous,EN,0.800000012,2,0,8,4,5,1,6,4,5,8,8,7,9,3,2,9,3,2,8,6,2,7,8,3,6,5,3,7,2,7,5,5,3,4,2,4,6,3,1,5
11/27/22 13:23,11/27/22 13:31,IP Address,171.76.82.233,100,432,TRUE,11/27/22 13:31,R_2dGsWAJheHxVZhF,,,,,12.9634,77.5855,anonymous,EN,0.899999976,10,1,8,5,7,3,6,1,6,2,1,8,2,8,9,6,5,6,3,7,1,9,5,3,4,2,7,7,7,4,4,2,1,6,7,4,7,7,8,5
11/27/22 13:22,11/27/22 13:32,IP Address,156.57.32.145,100,585,TRUE,11/27/22 13:32,R_1HpIJt2iVY9lIPL,,,,,45.8122,-66.6784,anonymous,EN,1,2,1,5,3,7,9,8,8,6,8,9,9,6,5,5,8,7,3,8,3,6,6,6,8,8,6,6,8,8,7,2,5,6,6,8,7,9,5,5,8
11/27/22 13:28,11/27/22 13:34,IP Address,65.184.28.6,100,363,TRUE,11/27/22 13:34,R_1hLmupQG2piWLpR,,,,,35.2742,-80.4215,anonymous,EN,1,6,1,8,8,7,8,4,6,7,6,6,3,4,1,3,8,4,0,8,3,3,7,7,6,7,4,5,10,5,7,4,8,7,5,6,1,5,4,2,3
11/27/22 13:27,11/27/22 13:34,IP Address,75.38.209.252,100,462,TRUE,11/27/22 13:34,R_2SjHwAxrINFRKNb,,,,,42.671,-82.9988,anonymous,EN,0.899999976,10,7,10,9,10,10,9,10,10,10,8,10,8,10,7,10,10,10,10,8,10,10,10,10,10,9,10,9,9,10,9,10,9,10,10,10,10,10,9,10
11/27/22 13:30,11/27/22 13:35,IP Address,174.95.134.226,100,307,TRUE,11/27/22 13:35,R_21ngsexzylm6QmR,,,,,43.5639,-79.7172,anonymous,EN,1,3,3,6,2,6,5,2,1,1,3,6,3,1,3,1,2,2,1,3,1,1,3,8,2,2,5,1,6,2,2,2,6,5,5,2,3,4,2,1,1
11/27/22 13:27,11/27/22 13:35,IP Address,92.249.140.198,100,489,TRUE,11/27/22 13:35,R_1OuFWBVPFGeVbCP,,,,,47.6666,19.6781,anonymous,EN,1,5,1,8,5,9,3,6,9,6,7,8,3,3,1,1,6,3,8,7,7,5,6,8,3,2,3,4,6,9,4,1,6,2,4,1,1,6,4,1,3
11/27/22 13:32,11/27/22 13:37,IP Address,192.0.135.49,100,271,TRUE,11/27/22 13:37,R_2UXzr4fxiyRHrx9,,,,,45.3973,-75.6883,anonymous,EN,0.899999976,4,7,5,5,8,6,8,7,7,6,5,7,4,6,4,5,8,6,6,7,4,7,7,6,6,5,7,8,8,8,8,6,5,4,5,5,7,7,3,6
11/27/22 13:28,11/27/22 13:37,IP Address,82.196.111.100,100,488,TRUE,11/27/22 13:37,R_1dnqplzh6XMK8iZ,,,,,59.3247,18.056,anonymous,EN,0.899999976,2,3,2,4,7,3,5,6,3,7,10,5,6,3,4,6,3,6,8,3,2,4,7,8,6,7,5,5,6,3,5,7,5,6,4,4,6,7,2,6
11/27/22 13:29,11/27/22 13:39,IP Address,185.94.131.162,100,625,TRUE,11/27/22 13:39,R_3fUd4yYTd0YcWZH,,,,,58.5334,15.0333,anonymous,EN,1,7,8,7,9,6,5,8,6,8,9,8,7,7,8,9,9,8,5,8,9,6,8,7,5,6,7,6,8,7,7,8,7,6,8,6,7,8,7,7,6
11/27/22 13:29,11/27/22 13:40,IP Address,47.218.200.224,100,614,TRUE,11/27/22 13:40,R_SCVmEn6TthofkiJ,,,,,30.8183,-96.3089,anonymous,EN,1,4,2,5,7,9,9,8,9,7,9,9,6,10,8,8,10,8,8,10,5,6,10,9,8,5,7,9,5,6,8,4,6,6,5,8,6,7,6,6,8
11/27/22 13:35,11/27/22 13:41,IP Address,2.99.88.247,100,367,TRUE,11/27/22 13:41,R_1jp7uPCdc2vGGmK,,,,,55.8621,-4.0312,anonymous,EN,1,2,2,3,4,6,8,8,6,4,5,6,6,5,5,2,7,9,1,7,2,1,8,3,5,6,5,5,6,10,0,2,0,3,4,7,10,3,9,1,5
11/27/22 13:35,11/27/22 13:44,IP Address,174.68.153.246,100,517,TRUE,11/27/22 13:44,R_1r7g78XWcmcn48R,,,,,36.129,-115.2765,anonymous,EN,1,3,4,7,7,9,7,6,5,9,8,8,8,8,4,8,8,4,4,7,5,6,8,9,6,10,10,7,3,1,3,6,3,7,6,6,6,9,3,1,1
11/27/22 13:42,11/27/22 13:46,IP Address,82.13.136.109,100,251,TRUE,11/27/22 13:46,R_r22vkX29f5uh0Dn,,,,,50.8963,-1.0463,anonymous,EN,1,1,2,1,3,4,6,3,5,6,6,7,6,8,9,5,8,4,4,3,5,4,6,7,7,7,6,3,5,7,6,8,3,3,2,7,6,4,3,1,4
11/27/22 13:45,11/27/22 13:50,IP Address,68.44.180.177,100,305,TRUE,11/27/22 13:50,R_2SuZo6lCcUddgXw,,,,,39.9564,-85.9651,anonymous,EN,1,2,3,1,2,3,2,5,5,4,4,5,4,3,3,4,5,5,5,6,4,5,7,6,7,6,5,5,7,5,3,3,4,4,4,5,4,4,5,4,5
11/27/22 13:48,11/27/22 13:53,IP Address,217.39.32.155,100,322,TRUE,11/27/22 13:53,R_2WHIAl3XpoZScHA,,,,,53.4084,-2.8379,anonymous,EN,1,1,6,9,10,8,9,7,8,10,10,7,8,4,7,8,9,10,5,6,10,3,6,7,6,8,9,10,6,6,7,3,5,6,1,2,7,7,10,8,3
11/27/22 13:49,11/27/22 13:55,IP Address,84.115.208.195,100,338,TRUE,11/27/22 13:55,R_1pQH8uCsz4zuBER,,,,,48.217,16.3944,anonymous,EN,1,0,0,2,1,3,4,4,10,7,5,7,6,3,5,7,10,8,3,7,8,4,3,7,2,2,6,6,7,5,3,1,9,10,5,8,2,9,2,3,8
11/27/22 13:49,11/27/22 13:56,IP Address,187.38.100.28,100,438,TRUE,11/27/22 13:56,R_3RjYcZFBBshVt8T,,,,,-23.6283,-46.6409,anonymous,EN,1,3,3,7,7,10,10,7,6,7,9,9,8,9,6,6,10,8,9,8,6,10,9,7,7,9,7,7,8,10,6,5,9,8,6,8,9,9,10,8,5
11/27/22 13:51,11/27/22 13:57,IP Address,207.181.228.223,100,379,TRUE,11/27/22 13:57,R_vdDPZO6XoM3rQZj,,,,,41.9703,-87.664,anonymous,EN,1,3,1,7,7,9,9,7,8,10,10,6,10,3,3,8,6,9,2,7,4,7,4,5,2,7,2,5,8,10,6,3,7,3,1,2,6,6,3,6,2
11/27/22 13:51,11/27/22 14:00,IP Address,50.53.74.254,100,552,TRUE,11/27/22 14:00,R_1jd2fppHVfvP8Ei,,,,,45.5397,-122.9638,anonymous,EN,0.899999976,4,2,7,5,6,8,9,7,6,8,9,7,7,5,3,8,8,7,10,6,7,7,7,7,5,6,6,7,5,6,5,6,7,5,7,7,8,5,4,5
11/27/22 13:56,11/27/22 14:00,IP Address,217.180.232.36,100,247,TRUE,11/27/22 14:00,R_ZwuwvBWDzsWErsJ,,,,,41.9014,-88.7515,anonymous,EN,1,8,3,6,3,6,5,8,3,4,8,9,7,6,5,5,7,5,7,7,4,7,6,7,4,7,4,4,5,8,4,2,5,7,4,3,7,4,5,3,4
11/27/22 13:52,11/27/22 14:01,IP Address,90.241.237.255,100,513,TRUE,11/27/22 14:01,R_TjXHXmTdQvypm0N,,,,,53.4516,-2.9147,anonymous,EN,1,3,2,4,4,5,7,4,7,8,8,8,7,8,7,7,8,8,5,9,8,6,7,8,7,7,7,8,6,7,6,3,6,5,5,5,7,6,5,5,5
11/27/22 14:00,11/27/22 14:05,IP Address,73.93.17.122,100,242,TRUE,11/27/22 14:05,R_1OP6ayS2qMQGhXc,,,,,37.9208,-122.0182,anonymous,EN,1,5,2,6,6,7,7,7,7,7,6,7,7,8,8,8,9,8,1,7,7,7,9,9,7,8,8,8,7,6,8,7,6,7,7,6,7,6,6,6,8
11/27/22 14:02,11/27/22 14:06,IP Address,151.196.125.86,100,219,TRUE,11/27/22 14:06,R_qWtqrJaIMs5XuNP,,,,,39.2514,-76.7979,anonymous,EN,1,8,1,2,6,10,4,6,10,5,7,10,2,10,5,7,10,5,1,10,4,10,10,10,4,10,8,10,4,10,4,2,6,7,1,4,1,9,3,2,3
11/27/22 14:01,11/27/22 14:06,IP Address,174.23.14.213,100,284,TRUE,11/27/22 14:06,R_22YtMi3LTVVCyOU,,,,,40.627,-111.8121,anonymous,EN,1,4,5,10,4,8,9,10,10,8,10,10,10,10,7,10,10,6,10,10,4,8,8,10,10,10,10,9,10,10,10,9,10,7,10,10,10,10,9,7,8
11/27/22 13:56,11/27/22 14:09,IP Address,89.166.75.209,100,782,TRUE,11/27/22 14:09,R_cYN147Kp1Nk4dHz,,,,,60.9706,25.6501,anonymous,EN,1,7,2,8,4,1,3,8,4,0,3,9,1,7,1,1,10,3,10,9,0,7,2,9,2,9,8,8,6,9,7,1,5,6,1,1,4,2,3,1,2
